Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1734173759,242194890,-7.28801522931613e-06,0.25614100446232824,1.427299998747097,-0.7071067780116131,6.776862835365328e-05,-4.2026717955611995e-05,0.7071067798651086,0,-1,-0.00014335313905888825,-1.570808235798971,-3.5587941304981996e-05,-1.5707719961749476,0.0,4.793690095539205e-05
14,1734173759,258359193,3.2037107675744845e-05,0.25614099834953546,1.4272999999087845,-0.7071067771372884,7.632182656672776e-05,-2.499939278638618e-05,0.7071067806749745,0,-1,-0.00013143221010381012,-1.570796314870016,1.1920928955078125e-05,-1.5707476774798792,-1.1746083394825746e-05,5.992112710373476e-05
30,1734173759,274445772,4.884605409025938e-05,0.256140996473863,1.4272999996665898,-0.7071067763942931,8.464994036860065e-05,6.035124883417591e-07,0.7071067809116913,0,-1,-0.00014335313905888825,-1.570808235798971,-4.7985707418263246e-05,-1.5707600752459925,-2.366701234990387e-05,7.190534961409867e-05
46,1734173759,289942502,1.1159756105767822e-05,0.25614100049045146,1.4272999995060074,-0.7071067788664077,5.9316879114051737e-05,5.24440197349403e-07,0.7071067810185431,0,-1,-0.00013143221010381012,-1.570820156727926,-2.366701234990387e-05,-1.570796314870016,-3.5587941304981996e-05,7.190534961409867e-05
62,1734173759,306242227,1.9507205303907102e-05,0.25614099945736674,1.4272999997835878,-0.7071067761991143,8.471175759201341e-05,-3.3389323855214735e-05,0.7071067803114087,0,-1,-0.00013143221010381012,-1.570796314870016,-3.5587941304981996e-05,-1.570820156727926,-1.1746083394825746e-05,8.388957940042019e-05
78,1734173759,322844982,-2.976344036970684e-05,0.2561410056033732,1.427299998223356,-0.707106778936954,5.080331384775169e-05,-5.043902828763802e-05,0.7071067798121676,0,-1,-0.00015527406801396637,-1.570796314870016,-1.1746083394825746e-05,-1.5707600752459925,-1.1746083394825746e-05,4.793690095539205e-05
94,1734173759,338405132,4.860817771937411e-06,0.25614100181638044,1.4272999992809456,-0.7071067784070062,6.35091856458977e-05,-2.9427421294472024e-05,0.7071067805016971,0,-1,-0.00013143221010381012,-1.570808235798971,-1.1746083394825746e-05,-1.5707600752459925,-4.7985707418263246e-05,4.793690095539205e-05
110,1734173759,354635477,-9.97393517143659e-06,0.2561410054842399,1.4272999983492356,-0.7071067778246202,6.766205321649262e-05,-5.886839795949026e-05,0.7071067788607612,0,-1,-0.00014335313905888825,-1.570808235798971,-2.366701234990387e-05,-1.5707476774798792,-1.1746083394825746e-05,7.190534961409867e-05
126,1734173759,370444297,-9.449903174020257e-06,0.25614100473962764,1.4272999984717758,-0.7071067771607598,7.185435908723898e-05,-6.310546174511141e-05,0.7071067787455975,0,-1,-0.000119511281148732,-1.570820156727926,-3.5587941304981996e-05,-1.5707600752459925,-1.1746083394825746e-05,7.190534961409867e-05
142,1734173759,386139154,5.697304718301031e-05,0.256140994239014,1.4272999997820637,-0.7071067729878412,0.00011019083411357315,-3.319835622504177e-05,0.707106780020225,0,-1,-0.00013143221010381012,-1.5707724730121058,-2.366701234990387e-05,-1.5707719961749476,-4.7985707418263246e-05,5.992112710373476e-05
